Ion = Lithium     , Mass = 7.016
Tgt =  C (Solid), Density = 1 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.242E+00   3.080E+00  8.060E+00 
1.267E+00   3.111E+00  8.044E+00 
1.292E+00   3.142E+00  8.028E+00 
1.318E+00   3.173E+00  8.012E+00 
1.345E+00   3.205E+00  7.994E+00 
1.371E+00   3.237E+00  7.976E+00 
1.399E+00   3.269E+00  7.958E+00 
1.427E+00   3.301E+00  7.939E+00 
1.455E+00   3.334E+00  7.919E+00 
1.484E+00   3.367E+00  7.899E+00 
1.514E+00   3.401E+00  7.878E+00 
1.544E+00   3.435E+00  7.857E+00 
1.575E+00   3.469E+00  7.835E+00 
1.607E+00   3.503E+00  7.812E+00 
1.639E+00   3.538E+00  7.789E+00 
1.672E+00   3.574E+00  7.765E+00 
1.705E+00   3.609E+00  7.741E+00 
1.739E+00   3.645E+00  7.716E+00 
1.774E+00   3.681E+00  7.691E+00 
1.810E+00   3.718E+00  7.665E+00 
1.846E+00   3.755E+00  7.638E+00 
1.883E+00   3.792E+00  7.611E+00 
1.920E+00   3.830E+00  7.584E+00 
1.959E+00   3.868E+00  7.556E+00 
1.998E+00   3.907E+00  7.527E+00 
2.038E+00   3.945E+00  7.498E+00 
2.079E+00   3.985E+00  7.468E+00 
2.120E+00   4.024E+00  7.438E+00 
2.163E+00   4.064E+00  7.408E+00 
2.206E+00   4.105E+00  7.376E+00 
2.250E+00   4.146E+00  7.345E+00 
2.295E+00   4.187E+00  7.313E+00 
2.341E+00   4.229E+00  7.280E+00 
2.388E+00   4.271E+00  7.247E+00 
2.435E+00   4.313E+00  7.214E+00 
2.484E+00   4.356E+00  7.180E+00 
2.534E+00   4.399E+00  7.146E+00 
2.584E+00   4.443E+00  7.111E+00 
2.636E+00   4.487E+00  7.076E+00 
2.689E+00   4.532E+00  7.040E+00 
2.743E+00   4.577E+00  7.004E+00 
2.797E+00   4.623E+00  6.968E+00 
2.853E+00   4.669E+00  6.931E+00 
2.911E+00   4.715E+00  6.894E+00 
2.969E+00   4.762E+00  6.857E+00 
3.028E+00   4.810E+00  6.819E+00 
3.089E+00   4.857E+00  6.781E+00 
3.150E+00   4.906E+00  6.743E+00 
3.213E+00   4.955E+00  6.704E+00 
3.278E+00   5.004E+00  6.665E+00 
3.343E+00   5.054E+00  6.625E+00 
3.410E+00   5.104E+00  6.586E+00 
3.478E+00   5.155E+00  6.546E+00 
3.548E+00   5.206E+00  6.505E+00 
3.619E+00   5.258E+00  6.465E+00 
3.691E+00   5.310E+00  6.424E+00 
3.765E+00   5.363E+00  6.383E+00 
3.840E+00   5.416E+00  6.342E+00 
3.917E+00   5.470E+00  6.300E+00 
3.996E+00   5.525E+00  6.258E+00 
4.075E+00   5.580E+00  6.216E+00 
4.157E+00   5.635E+00  6.174E+00 
4.240E+00   5.691E+00  6.132E+00 
4.325E+00   5.748E+00  6.089E+00 
4.411E+00   5.805E+00  6.047E+00 
4.500E+00   5.863E+00  6.004E+00 
4.590E+00   5.921E+00  5.961E+00 
4.681E+00   5.980E+00  5.918E+00 
4.775E+00   6.040E+00  5.874E+00 
4.871E+00   6.100E+00  5.831E+00 
